"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"The fraternal twins were as different as day and __________.","night","0.9900","11.49","30","0.68","0.0800",\N,\N
"Running low on cookies, the bakery needed a new __________.","batch","0.5400","9.24","22","0.57","2.4900","5","20"
"The cookies were so good that Carol made another __________.","batch","0.9900","9.24","22","0.57","0.0800","5","20"
"The cookies were cold, so Luke made a fresh __________.","batch","0.9500","9.24","22","0.57","0.3200","5","20"
"Dean dropped the cookies and had to make a fresh __________.","batch","0.9500","9.24","22","0.57","0.3500","5","20"
"The products were faulty so they made another __________.","batch","0.5500","9.24","22","0.57","2.8000","5","20"
"The restaurant made millions with its famous secret __________.","recipe","0.4900","9.23","0","0.55","1.5100","8","0"
"The investor made a profit after selling his __________.","stock","0.5400","10.68","10","0.66","2.4200","147","9"
"Nicole wanted the paper towels but they weren't in __________.","stock","0.8400","10.68","10","0.66","1.2300","147","9"
"Allie tried to get the bread, but it was out of __________.","stock","0.4500","10.68","10","0.66","1.8200","147","9"
"The small flame made the burgers difficult to __________.","cook","0.7000","9.51","13","0.64","1.8000","47","13"
"In culinary school, the chef was taught how to __________.","cook","0.4500","9.51","13","0.64","3.1400","47","13"
"The weight of all the family's shoes broke the __________.","shelf","0.3600","8.64","5","0.56","3.4900","12","3"
"He had trouble getting the bike onto the __________.","rack","0.3400","9.36","31","0.56","3.7400","10","26"
"To declutter her closet, Hannah bought a shoe __________.","rack","0.5000","9.36","31","0.56","1.8300","10","26"
"The twins hated the campsite and wanted to turn __________.","back","0.3700","12.88","34","0.69","2.1800","967","28"
"The father took the front and the mother took the __________.","back","0.8100","12.88","34","0.69","0.8700","967","28"
"The safest seats in a car are in the __________.","back","0.7600","12.88","34","0.69","1.2700","967","28"
"While trying to lift the box, Jeffrey pulled his __________.","back","0.3900","12.88","34","0.69","2.3600","967","28"
"Sally took her children to the candy __________.","store","0.8800","10.88","10","0.66","0.6300","74","12"
"For breakfast he had eggs and a sweet buttered __________.","roll","0.4300","9.99","36","0.64","2.6200",\N,\N
"The fraying rope lay on the ground in a __________.","pile","0.3300","8.64","30","0.56","2.8100","25","25"
"The assistant handed the teacher the exams as one __________.","pile","0.3700","8.64","30","0.56","3.3500","25","25"
"Grandmother baked a pie and set it on the __________.","counter","0.3400","9.70","7","0.63","2.6800","31","2"
"The earrings came in a beautiful red velvet __________.","box","0.4100","12.05","16","0.66","2.7700","70","3"
"The earthquake made the photos fall off the __________.","wall","0.6800","11.43","25","0.67","1.5800","160","19"
"The room looked better once paintings were on the __________.","wall","0.9500","11.43","25","0.67","0.4000","160","19"
"The reckless driver drove too quickly around the __________.","corner","0.4200","10.05","4","0.64","2.5000","115","1"
"The nervous novice driver kept taking the wrong __________.","turn","0.8000","11.40","19","0.69","1.1900",\N,\N
"The road was dangerous, as it had a sharp __________.","turn","0.5700","11.40","19","0.69","1.4100",\N,\N
"When driving it is dangerous to sharply __________.","turn","0.7900","11.40","19","0.69","1.1000",\N,\N
"When using credit cards, cashiers may ask you to __________.","sign","0.6900","10.58","30","0.67","1.7600","94","24"
"Chris couldn't find the store because there was no __________.","sign","0.7100","10.58","30","0.67","1.3900","94","24"
"The excited fan gave him a photo to __________.","sign","0.7400","10.58","30","0.67","1.2800","94","24"
"On his lunch break, the lunch-owner put up a __________.","sign","0.8700","10.58","30","0.67","1.0000","94","24"
"The girls made beautiful designs on the street with __________.","chalk","0.8300","7.42","13","0.56","1.2000","3","12"
"The blackboard in the classroom was covered in __________.","chalk","0.5100","7.42","13","0.56","2.2300","3","12"
"Aaron wrote the lesson on the board with colorful __________.","chalk","0.6100","7.42","13","0.56","1.6500","3","12"
"The flower patch was flawed by an overgrown __________.","weed","0.6300","8.01","33","0.54","2.1500","1","20"
"Her chore is going to the garden to __________.","weed","0.5000","8.01","33","0.54","2.9100","1","20"
"The critic rejected the steak because it was too __________.","rare","0.3700","10.50","31","0.67","3.1600","41","20"
"Alexander just knew that he would win the big __________.","prize","0.3200","9.01","12","0.64","3.0600",\N,\N
"The group's mistakes made the entire heist a __________.","failure","0.3400","10.09","0","0.66","3.4200","89","0"
"Unfortunately the mission turned out to be a __________.","failure","0.4700","10.09","0","0.66","2.6800","89","0"
"Chocolate is made from the roasted cacao __________.","bean","0.8400","8.18","30","0.57","1.0100","5","23"
"The body builder's arm muscles were extremely __________.","large","0.4000","11.81","5","0.69","3.7600","361","6"
"You could be seriously injured by a horse __________.","kick","0.5400","9.90","23","0.59","2.8100","16","23"
"The soccer player passed the ball with a fast __________.","kick","0.7700","9.90","23","0.59","1.6700","16","23"
"The cowboy had a dark bruise from a horse's __________.","kick","0.7200","9.90","23","0.59","1.4500","16","23"
"The raging horse kicked the stable worker with its __________.","hoof","0.5900","6.06","15","0.40","1.6200","2","5"
"Hank made a special horseshoe for Blazer's deformed __________.","hoof","0.6900","6.06","15","0.40","1.4700","2","5"
"The woman was shaken up after she saw the __________.","accident","0.3200","9.32","0","0.64","4.0200","33","1"
"The athlete spent a long time training for the high __________.","jump","0.7800","10.20","8","0.62","1.6500","24","8"
"Once the cake was unattended, the dog took a __________.","bite","0.9200","9.01","37","0.56","0.4000",\N,\N
"Gigi fell yesterday and she broke a __________.","leg","0.3100","9.79","13","0.63","3.2500","58","14"
"The horse couldn't race after an injury to its __________.","leg","0.7400","9.79","13","0.63","1.6100","58","14"
"The accident was so bad that he lost a __________.","leg","0.5900","9.79","13","0.63","2.0100","58","14"
"After the accident, Dan had an artificial __________.","leg","0.4500","9.79","13","0.63","2.3900","58","14"
"Henry was in pain after he broke his __________.","leg","0.4300","9.79","13","0.63","2.6100","58","14"
"The veteran moved with a limp in his __________.","leg","0.4000","9.79","13","0.63","2.4200","58","14"
"The runners were out of breath after the long __________.","race","0.3600","10.75","26","0.66","2.7000","103","22"
"The college runner was excited when he won the __________.","race","0.7100","10.75","26","0.66","1.8400","103","22"
"The market does not provide customers with a shopping __________.","cart","0.5200","8.69","15","0.56","1.9900","5","10"
"The actress rolled her eyes and left in a __________.","huff","0.5800","6.50","17","0.45","1.7200","10","18"
"Frustrated with his teammates, Julian stormed off in a __________.","huff","0.6200","6.50","17","0.45","1.9800","10","18"
"Upset with her brother's rudeness, Kelsey left in a __________.","huff","0.5400","6.50","17","0.45","1.7400","10","18"
"As Aiden aged, he began to lose his __________.","hair","0.4800","10.66","32","0.64","3.1000","149","22"
"Every morning, Liz would carefully brush her __________.","hair","0.6400","10.66","32","0.64","0.9400","149","22"
"The young girl told her mom she wanted longer __________.","hair","0.6900","10.66","32","0.64","2.0600","149","22"
"The sloppy boy was too lazy to cut his __________.","hair","0.6500","10.66","32","0.64","1.8700","149","22"
"Tucker has no filter, and says whatever enters his __________.","mind","0.8800","11.78","17","0.67","0.7600","325","11"
"Greg's dentist was very impressed by his __________.","teeth","0.5900","9.30","13","0.60","2.3600","103","11"
"The neighbor's dog was scary because of its __________.","teeth","0.3400","9.30","13","0.60","2.5600","103","11"
"The tiger had punctured the ball with its __________.","teeth","0.6000","9.30","13","0.60","1.5800","103","11"
"The dentist said Matt needed to care for his __________.","teeth","0.7200","9.30","13","0.60","1.2200","103","11"
"Henry disliked when his steak had a lot of __________.","fat","0.4900","10.29","25","0.62","2.7700","60","22"
"He couldn't lift her even when he used all his __________.","strength","0.5100","10.16","0","0.66","1.5100","136","0"
"When it rained, the tiny dog was crippled by __________.","fear","0.5600","10.45","40","0.65","2.3500","127","27"
"After the horror movie, Logan's heart raced with __________.","fear","0.6900","10.45","40","0.65","1.7100","127","27"
"Sally froze upon seeing the snake, crippled by __________.","fear","0.9600","10.45","40","0.65","0.3200","127","27"
"The thought of the test instilled Bryan with __________.","fear","0.6800","10.45","40","0.65","1.7100","127","27"
"The horse broke the fence by kicking out his __________.","legs","0.3400","10.18","11","0.61","3.1800",\N,\N
"It seemed as if he tripped over his own __________.","feet","0.8200","10.60","22","0.64","1.1300",\N,\N
"The tracker followed the prints from the horse's __________.","hooves","0.6500","5.70","5","0.39","2.0900","2","2"
"To keep the dogs in, Sam always closed the __________.","gate","0.5000","9.72","26","0.64","1.0700",\N,\N
"The young rider had trouble putting on the horse's __________.","saddle","0.7200","7.97","11","0.56","1.7000","25","4"
"The new family enclosed their yard with a __________.","fence","0.9700","8.57","8","0.58","0.2200","30","8"
"Andrew hadn't made a decision but was on the __________.","fence","0.4400","8.57","8","0.58","2.3900","30","8"
"For his calligraphy, Jordan looked for a special __________.","pen","0.8300","8.98","25","0.61","1.2200","18","25"
"To do her journal entry Sarah needed a good __________.","pen","0.5600","8.98","25","0.61","2.5400","18","25"
"The receptionist handed Kim some papers and a __________.","pen","0.8900","8.98","25","0.61","0.8100","18","25"
"An independent woman, Rae wanted to make her own __________.","way","0.3800","13.10","22","0.70","3.4200","913","20"
"After years of feeling lost she finally found her __________.","way","0.3200","13.10","22","0.70","3.8700","913","20"
"The chef received an award for his signature __________.","dish","0.7900","8.89","14","0.57","1.4300","16","12"
"The town was small but it was a trading __________.","post","0.4300","12.53","16","0.68","3.5900","84","13"
"New mothers learn how to get their babies to __________.","sleep","0.4100","10.15","12","0.62","3.3200","65","10"
"Every night, the stubborn boy refused to __________.","sleep","0.9000","10.15","12","0.62","0.6900","65","10"
"The mother sang to the crying baby to __________.","sleep","0.4500","10.15","12","0.62","2.7400","65","10"
"The frustrated mother couldn't get her toddler to __________.","sleep","0.3600","10.15","12","0.62","3.4200","65","10"
"After a tiring day, Max is exhausted and likes to __________.","sleep","0.3800","10.15","12","0.62","2.5700","65","10"
"The baby grabbed the bottle and started to __________.","drink","0.5800","9.90","4","0.62","1.8000","82","5"
"Paul quickly grabbed the beer and began to __________.","drink","0.4900","9.90","4","0.62","1.5200","82","5"
